Metric,Value,Lane
PercentQ30,93.145579,1+2
PercentQ40,79.074483,1+2
QualityScoreMean,40.725988,1+2
PercentAssigned,98.450000,1+2
PercentMismatch,4.174708,1+2
PercentUnexpectedIndexPairs,0.000000,1+2
AssignedYield (gb),0.002938,1+2
TotalYield (gb),0.002984,1+2
PercentQ30,93.145579,1
PercentQ40,79.074483,1
QualityScoreMean,40.725988,1
PercentAssigned,98.450000,1
PercentMismatch,4.174708,1
PercentUnexpectedIndexPairs,0.000000,1
AssignedYield (gb),0.002938,1
TotalYield (gb),0.002984,1
PercentQ30,nan,2
PercentQ40,nan,2
QualityScoreMean,nan,2
PercentAssigned,0.000000,2
PercentMismatch,0.000000,2
PercentUnexpectedIndexPairs,0.000000,2
AssignedYield (gb),0.000000,2
TotalYield (gb),0.000000,2

